feature,importance
text_emb_198,1854.7985609173775
text_emb_333,1853.5670154690742
text_emb_269,1852.8083960413933
image_emb_508,1852.313183426857
text_emb_232,1852.0417748093605
text_emb_89,1851.665267586708
text_emb_78,1849.6207684278488
image_emb_13,1849.424348771572
image_emb_411,1844.9415920972824
text_emb_225,1844.05757188797
image_emb_84,1842.4567458033562
image_emb_405,1842.2376660704613
text_emb_84,1841.1731870174408
image_emb_124,1840.74366658926
image_emb_246,1839.0733845233917
text_emb_297,1836.7142777442932
image_emb_63,1835.5389717817307
text_emb_362,1831.5766639113426
text_emb_287,1830.0624139904976
image_emb_235,1828.6906338334084
image_emb_129,1826.4884675741196
text_emb_372,1823.1752972006798
image_emb_347,1821.6576725840569
image_emb_197,1820.240568459034
image_emb_345,1820.073048233986
image_emb_339,1817.5170130133629
image_emb_342,1815.097607076168
text_emb_75,1814.6241317987442
image_emb_435,1814.61060577631
image_emb_242,1808.2306985855103
image_emb_67,1803.212005019188
image_emb_76,1802.0899394750595
image_emb_21,1798.280145227909
text_emb_318,1797.7608946561813
image_emb_505,1795.8857981562614
image_emb_85,1793.746951520443
text_emb_358,1793.1788314580917
image_emb_94,1790.3797175884247
image_emb_227,1786.7486690282822
image_emb_226,1786.2974011301994
image_emb_190,1785.7379593849182
image_emb_354,1782.8369735479355
image_emb_350,1780.4596118927002
image_emb_346,1780.011787712574
image_emb_303,1777.8757815361023
image_emb_333,1777.5087154507637
image_emb_114,1776.081734240055
image_emb_299,1772.3871394991875
text_emb_39,1771.822082579136
image_emb_32,1770.710848391056
text_emb_2,1769.5278206467628
image_emb_488,1768.6884161829948
image_emb_158,1766.9090536236763
image_emb_157,1766.81198066473
image_emb_444,1765.6136713027954
text_emb_123,1761.5810803174973
text_emb_258,1761.4555320739746
image_emb_332,1759.659341275692
image_emb_187,1758.9259910583496
image_emb_96,1758.5693610310555
text_emb_153,1755.6960678696632
image_emb_480,1755.226966381073
image_emb_431,1755.0810760855675
image_emb_409,1753.6284284591675
image_emb_451,1752.7123165130615
text_emb_274,1752.4858037233353
image_emb_52,1748.6843994259834
text_emb_192,1748.2496187090874
image_emb_186,1747.8088988661766
image_emb_338,1747.5992581248283
image_emb_404,1747.4837104082108
image_emb_230,1746.6787358522415
text_emb_348,1746.0926333069801
image_emb_494,1744.7231450676918
text_emb_300,1743.810206234455
image_emb_30,1741.7038288116455
image_emb_304,1741.0923607349396
text_emb_95,1739.9361560940742
text_emb_222,1739.165804386139
text_emb_103,1738.348893404007
text_emb_186,1736.5533685088158
image_emb_307,1735.9904574155807
text_emb_353,1733.9002621173859
